db_order_id,invoice_number,stt,product_code,product_name_pdf,product_name_clean,product_name_source,unit,unit_pdf,quantity,unit_price,line_total
1,BH26_0935,1,000104002009000,Xe nnp Thnng Nhnt Tom & Jerry 14 Hnng,Xe đạp Thống Nhất Tom & Jerry 14 Hồng,AUTO_CLEAN,Chiếc,Chinc,1.0,1898148.0,1898148.0
2,BH26_0936,1,000230002013000,Xe nnp Thnng Nhnt LD 26 Pastel Xanh,Xe đạp Thống Nhất LD 26 Pastel Xanh,AUTO_CLEAN,Chiếc,Chinc,1.0,2861111.0,2861111.0
3,BH26_0937,1,000103002009000,Xe nnp Thnng Nhnt We Bare Bears 16 Hnng,Xe đạp Thống Nhất We Bare Bears 16 Hồng,AUTO_CLEAN,Chiếc,Chinc,1.0,1935185.0,1935185.0
4,BH26_0938,1,000331002008000,Xe nnp Thnng Nhnt MTB 26-02 Ghi,Xe đạp Thống Nhất MTB 26-02 Ghi,AUTO_CLEAN,Chiếc,Chinc,1.0,2953704.0,2953704.0
5,BH26_0939,1,000225002023000,Xe nnp Thnng Nhnt New 26 Kem,Xe đạp Thống Nhất New 26 Kem,AUTO_CLEAN,Chiếc,Chinc,2.0,1616111.0,3232222.0
5,BH26_0939,2,000225002002000,Xe nnp Thnng Nhnt New 26 Trnng,Xe đạp Thống Nhất New 26 Trắng,AUTO_CLEAN,Chiếc,Chinc,3.0,1616111.0,4848333.0
5,BH26_0939,3,000225002015000,Xe nnp Thnng Nhnt New 26 Café/nâu,Xe đạp Thống Nhất New 26 Café/nâu,AUTO_CLEAN,Chiếc,Chinc,1.0,1616111.0,1616111.0
5,BH26_0939,4,000225002025000,Xe nnp Thnng Nhnt New 26 Xanh mint,Xe đạp Thống Nhất New 26 Xanh mint,AUTO_CLEAN,Chiếc,Chinc,2.0,1616111.0,3232222.0
5,BH26_0939,5,000209002007000,Xe nnp Thnng Nhnt 219-26 Coban,Xe đạp Thống Nhất 219-26 Cơ bản,AUTO_CLEAN,Chiếc,Chinc,1.0,1469444.0,1469444.0
5,BH26_0939,6,000336002004000,Xe nnp Thnng Nhnt SK 20 nn,Xe đạp Thống Nhất SK 20 nn,AUTO_CLEAN,Chiếc,Chinc,1.0,1377777.0,1377777.0
5,BH26_0939,7,000224002023000,Xe nnp Thnng Nhnt New 24 Kem,Xe đạp Thống Nhất New 24 Kem,AUTO_CLEAN,Chiếc,Chinc,1.0,1555000.0,1555000.0
5,BH26_0939,8,000225002023000,Xe nnp Thnng Nhnt New 26 Kem,Xe đạp Thống Nhất New 26 Kem,AUTO_CLEAN,Chiếc,Chinc,1.0,1616111.0,1616111.0
5,BH26_0939,9,000230002009000,Xe nnp Thnng Nhnt LD 26 Pastel Hnng,Xe đạp Thống Nhất LD 26 Pastel Hồng,AUTO_CLEAN,Chiếc,Chinc,1.0,1799444.0,1799444.0
5,BH26_0939,10,000230002013000,Xe nnp Thnng Nhnt LD 26 Pastel Xanh,Xe đạp Thống Nhất LD 26 Pastel Xanh,AUTO_CLEAN,Chiếc,Chinc,2.0,1799444.0,3598888.0
5,BH26_0939,11,000230002023000,Xe nnp Thnng Nhnt LD 26 Kem,Xe đạp Thống Nhất LD 26 Kem,AUTO_CLEAN,Chiếc,Chinc,3.0,1799444.0,5398332.0
5,BH26_0939,12,000217003001000,Xe nnp Thnng Nhnt GN 06-26 2.0 nen,Xe đạp Thống Nhất GN 06-26 2.0 nen,AUTO_CLEAN,Chiếc,Chinc,1.0,1591666.0,1591666.0
5,BH26_0939,13,000217003008000,Xe nnp Thnng Nhnt GN 06-26 2.0 Ghi,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,AUTO_CLEAN,Chiếc,Chinc,3.0,1591666.0,4774998.0
5,BH26_0939,14,000217003005000,Xe nnp Thnng Nhnt GN 06-26 2.0 Cam,Xe đạp Thống Nhất GN 06-26 2.0 Cam,AUTO_CLEAN,Chiếc,Chinc,1.0,1591666.0,1591666.0
5,BH26_0939,15,000216003001000,Xe nnp Thnng Nhnt GN 06-24 2.0 nen,Xe đạp Thống Nhất GN 06-24 2.0 nen,AUTO_CLEAN,Chiếc,Chinc,2.0,1530555.0,3061110.0
5,BH26_0939,16,1040010000080000,Xe nnp Thnng Nhnt TE Batman16 Ghi,Xe đạp Thống Nhất TE Batman16 Ghi,AUTO_CLEAN,Chiếc,Chinc,1.0,1326851.0,1326851.0
5,BH26_0939,17,000337002001000,Xe nnp Thnng Nhnt SK 24 nen,Xe đạp Thống Nhất SK 24 nen,AUTO_CLEAN,Chiếc,Chinc,1.0,1622222.0,1622222.0
5,BH26_0939,18,000125002009000,Xe nnp Thnng Nhnt Puppy 20 Hnng,Xe đạp Thống Nhất Puppy 20 Hồng,AUTO_CLEAN,Chiếc,Chinc,2.0,1310555.0,2621110.0
5,BH26_0939,19,000331002001000,Xe nnp Thnng Nhnt MTB 26-02 nen,Xe đạp Thống Nhất MTB 26-02 nen,AUTO_CLEAN,Chiếc,Chinc,1.0,1799444.0,1799444.0
5,BH26_0939,20,1000270020150000,Xe nnp Thnng Nhnt TE Spaceboy 16 Café/nâu,Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu,AUTO_CLEAN,Chiếc,Chinc,1.0,943888.0,943888.0
5,BH26_0939,21,1000270020220000,Xe nnp Thnng Nhnt TE Spaceboy 16 Xanh dnn,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dnn,AUTO_CLEAN,ngChiếc,ngChinc,3.0,943888.0,2831664.0
5,BH26_0939,22,1030010000080000,Xe nnp Thnng Nhnt TE Batman12 Ghi,Xe đạp Thống Nhất TE Batman12 Ghi,AUTO_CLEAN,Chiếc,Chinc,2.0,1262037.0,2524074.0
5,BH26_0939,23,1040010000080000,Xe nnp Thnng Nhnt TE Batman16 Ghi,Xe đạp Thống Nhất TE Batman16 Ghi,AUTO_CLEAN,Chiếc,Chinc,5.0,1326851.0,6634255.0
5,BH26_0939,24,000105002004000,Xe nnp Thnng Nhnt Batwheels 12 nn,Xe đạp Thống Nhất Batwheels 12 nn,AUTO_CLEAN,Chiếc,Chinc,2.0,1132407.0,2264814.0
5,BH26_0939,25,000105002013000,Xe nnp Thnng Nhnt Batwheels 12 Xanh,Xe đạp Thống Nhất Batwheels 12 Xanh,AUTO_CLEAN,Chiếc,Chinc,2.0,1132407.0,2264814.0
5,BH26_0939,26,000106002001000,Xe nnp Thnng Nhnt Batwheels 16 nen,Xe đạp Thống Nhất Batwheels 16 nen,AUTO_CLEAN,Chiếc,Chinc,2.0,1262037.0,2524074.0
5,BH26_0939,27,000106002013000,Xe nnp Thnng Nhnt Batwheels 16 Xanh,Xe đạp Thống Nhất Batwheels 16 Xanh,AUTO_CLEAN,Chiếc,Chinc,2.0,1262037.0,2524074.0
5,BH26_0939,28,000124002009000,Xe nnp Thnng Nhnt Neo 2004 Hnng,Xe đạp Thống Nhất Neo 2004 Hồng,AUTO_CLEAN,Chiếc,Chinc,2.0,1111111.0,2222222.0
5,BH26_0939,29,000124002004000,Xe nnp Thnng Nhnt Neo 2004 nn tnni,Xe đạp Thống Nhất Neo 2004 nn tnni,AUTO_CLEAN,Chiếc,Chinc,1.0,1111111.0,1111111.0
5,BH26_0939,30,000336002001000,Xe nnp Thnng Nhnt SK 20 nen,Xe đạp Thống Nhất SK 20 nen,AUTO_CLEAN,Chiếc,Chinc,2.0,1377777.0,2755554.0
5,BH26_0939,31,000336002022000,Xe nnp Thnng Nhnt SK 20 xanh,Xe đạp Thống Nhất SK 20 xanh,AUTO_CLEAN,Chiếc,Chinc,1.0,1377777.0,1377777.0
6,BH26_0940,1,000217003008000,Xe nnp Thnng Nhnt GN 06-26 2.0 Ghi,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,AUTO_CLEAN,Chiếc,Chinc,1.0,1591666.0,1591666.0
